"","Duration","Treatment","VideoTime","VoteProbability","NewsDays","BidenNominee","TrumpNominee","StemMajor","HumanitiesMajor","ParentsInfluence","HSGPA","Ideology","Class","TrumpCharges"
"1",28,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"2",11,0,3.288,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"3",314,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"4",255,1,19.358,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"5",1517,0,5.838,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"6",31,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"7",435,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"8",343,1,97.125,5,1,TRUE,FALSE,TRUE,FALSE,3,5,4,2,6
"9",368,0,182.413,5,3,TRUE,FALSE,FALSE,TRUE,2,5,3,2,8
"10",737,0,42.783,4,NA,TRUE,TRUE,FALSE,FALSE,3,5,5,2,7
"11",374,1,168.804,4,2,TRUE,TRUE,TRUE,FALSE,2,5,4,2,7
"12",498,0,260.787,5,4,TRUE,TRUE,TRUE,FALSE,2,5,5,2,4
"13",374,0,139.196,5,NA,TRUE,TRUE,FALSE,FALSE,2,5,5,2,4
"14",1171,1,544.195,5,0,TRUE,TRUE,FALSE,FALSE,4,NA,6,3,1
"15",615,1,235.377,5,1,TRUE,TRUE,FALSE,FALSE,5,5,4,3,3
"16",460,1,0,5,NA,TRUE,FALSE,TRUE,TRUE,2,NA,6,2,3
"17",380,0,189.654,3,1,TRUE,TRUE,TRUE,FALSE,2,4,3,3,6
"18",235,0,43.049,5,4,TRUE,TRUE,FALSE,FALSE,3,NA,5,4,7
"19",766,0,110.25,5,5,TRUE,TRUE,TRUE,TRUE,2,3,5,2,1
"20",891,1,238.574,5,3,TRUE,TRUE,TRUE,FALSE,5,5,3,3,4
"21",661,1,290.767,5,2,TRUE,TRUE,TRUE,TRUE,2,3,3,2,7
"22",303,0,132.593,2,7,TRUE,TRUE,FALSE,TRUE,3,5,4,2,5
"23",352,0,213.481,5,5,TRUE,TRUE,FALSE,FALSE,2,5,4,3,5
"24",626,1,398.786,5,0,TRUE,TRUE,FALSE,FALSE,4,4,5,2,8
"25",770,1,397.529,5,0,TRUE,TRUE,TRUE,TRUE,2,4,5,2,5
"26",287,0,100.609,5,3,TRUE,TRUE,TRUE,FALSE,4,4,5,3,6
"27",546,0,101.858,1,0,TRUE,TRUE,FALSE,TRUE,3,4,4,3,6
"28",67,1,0,5,2,TRUE,TRUE,TRUE,FALSE,5,3,4,2,5
"29",440,0,86.847,5,NA,FALSE,TRUE,TRUE,FALSE,4,5,5,2,4
"30",594,1,216.601,3,0,FALSE,TRUE,TRUE,FALSE,4,5,3,1,5
"31",214,0,99.201,5,5,TRUE,TRUE,FALSE,TRUE,2,5,4,3,8
"32",530,1,0,5,0,TRUE,TRUE,TRUE,FALSE,3,4,5,2,5
"33",442,1,232.112,1,1,TRUE,TRUE,FALSE,FALSE,4,4,5,2,5
"34",35090,0,196.869,5,0,TRUE,TRUE,TRUE,FALSE,3,4,5,2,5
"35",238,0,42.594,5,7,TRUE,TRUE,FALSE,TRUE,4,5,5,3,8
"36",289,0,117.243,4,3,TRUE,TRUE,TRUE,FALSE,1,5,4,1,5
"37",300,0,166.02,5,NA,TRUE,TRUE,TRUE,TRUE,4,5,5,2,3
"38",669,1,432.119,5,2,TRUE,TRUE,TRUE,TRUE,3,5,5,3,5
"39",386,1,2.361,5,2,FALSE,TRUE,TRUE,TRUE,4,4,5,1,4
"40",680,1,84.469,1,0,TRUE,TRUE,TRUE,FALSE,3,NA,6,1,4
"41",848,1,233.029,5,4,TRUE,TRUE,TRUE,TRUE,2,5,5,2,4
"42",136,0,42.833,3,4,TRUE,TRUE,TRUE,FALSE,4,5,2,2,5
"43",616,1,246.884,5,6,TRUE,FALSE,TRUE,TRUE,2,3,4,3,5
"44",1137,1,953.719,5,0,TRUE,TRUE,TRUE,FALSE,3,5,4,2,4
"45",325,0,103.771,5,1,TRUE,FALSE,FALSE,FALSE,1,4,5,3,3
"46",174,0,46.407,3,4,FALSE,FALSE,FALSE,TRUE,3,NA,3,2,5
"47",734,1,0,5,4,TRUE,TRUE,TRUE,FALSE,2,4,4,2,5
"48",1375,1,432.559,5,7,TRUE,TRUE,TRUE,FALSE,1,5,5,3,5
"49",1577,0,601.318,5,1,TRUE,TRUE,FALSE,TRUE,3,3,3,2,6
"50",488,1,148.669,5,0,TRUE,TRUE,FALSE,FALSE,3,5,5,1,6
"51",490,0,5.013,5,6,TRUE,TRUE,TRUE,TRUE,3,5,5,2,4
"52",625,0,301.18,5,4,TRUE,TRUE,FALSE,TRUE,2,5,4,1,4
"53",221,0,60.96,5,4,TRUE,TRUE,FALSE,TRUE,3,5,5,2,5
"54",805,1,346.703,5,1,TRUE,TRUE,TRUE,FALSE,3,5,3,3,6
"55",431,0,109.85,5,0,TRUE,TRUE,FALSE,TRUE,2,NA,6,1,5
"56",1062,1,161.958,5,0,TRUE,TRUE,FALSE,FALSE,2,3,5,1,5
"57",681,0,49.559,5,4,TRUE,TRUE,FALSE,FALSE,3,4,5,1,3
"58",283,0,123.686,5,6,TRUE,TRUE,TRUE,FALSE,3,5,4,2,5
"59",8237,1,1108.231,5,0,TRUE,TRUE,FALSE,FALSE,2,5,5,2,4
"60",192756,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"61",283,0,122.42,5,1,TRUE,FALSE,TRUE,TRUE,3,5,5,2,5
"62",630,0,381.87,5,4,TRUE,TRUE,TRUE,FALSE,4,5,2,3,5
"63",136,0,34.455,5,0,TRUE,TRUE,FALSE,FALSE,4,5,5,2,5
"64",347,0,101.489,4,0,TRUE,TRUE,TRUE,TRUE,4,4,4,2,5
"65",104379,1,195.737,5,3,TRUE,TRUE,FALSE,TRUE,4,5,5,2,7
"66",806,1,153.875,5,1,FALSE,TRUE,TRUE,FALSE,2,5,3,2,3
"67",661,1,215.687,5,NA,FALSE,TRUE,TRUE,TRUE,3,5,4,1,10
"68",595,0,158.984,5,0,TRUE,FALSE,TRUE,FALSE,2,5,5,3,7
"69",217,0,18.338,4,NA,TRUE,TRUE,FALSE,FALSE,4,5,4,2,5
"70",11647,1,310.288,5,NA,TRUE,TRUE,FALSE,FALSE,1,4,5,1,4
"71",207,1,72.441,4,0,FALSE,FALSE,FALSE,FALSE,2,5,5,1,5
"72",274,0,133.534,5,3,TRUE,TRUE,FALSE,FALSE,2,5,5,3,5
"73",285,1,93.988,1,2,TRUE,TRUE,FALSE,FALSE,2,5,5,3,5
"74",115,0,50.108,1,2,TRUE,TRUE,FALSE,FALSE,2,5,5,NA,5
"75",914,1,382.022,5,7,TRUE,FALSE,FALSE,TRUE,3,4,4,2,8
"76",588,0,364.839,4,7,TRUE,TRUE,FALSE,TRUE,2,5,5,2,5
"77",24,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"78",1788,1,138.806,5,7,TRUE,TRUE,FALSE,TRUE,2,5,4,2,5
"79",455,0,109.111,5,0,TRUE,TRUE,FALSE,FALSE,3,3,2,2,5
"80",500,1,79.298,5,4,TRUE,TRUE,FALSE,FALSE,2,5,5,2,5
"81",161,1,0,5,NA,TRUE,FALSE,FALSE,FALSE,3,5,5,1,8
"82",717,0,321.06,5,1,TRUE,TRUE,FALSE,FALSE,2,5,5,1,4
"83",930,0,361.652,5,NA,TRUE,FALSE,FALSE,TRUE,3,NA,6,1,4
"84",436,1,0,4,NA,TRUE,FALSE,FALSE,TRUE,2,4,5,2,5
"85",876,1,359.302,4,NA,TRUE,TRUE,TRUE,FALSE,1,5,5,1,7
"86",299,0,158.401,5,0,TRUE,TRUE,TRUE,FALSE,3,4,4,3,5
"87",2834,0,1815.678,5,1,TRUE,TRUE,FALSE,FALSE,1,3,4,1,4
"88",459,1,299.941,4,1,FALSE,FALSE,TRUE,FALSE,4,5,3,2,3
"89",680,1,255.331,5,5,FALSE,FALSE,TRUE,TRUE,2,NA,3,3,6
"90",53,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"91",303,0,97.755,5,6,TRUE,FALSE,TRUE,FALSE,2,5,5,1,4
"92",1498,0,310.171,5,4,TRUE,TRUE,FALSE,TRUE,3,3,4,1,5
"93",921,1,10.887,5,0,TRUE,FALSE,TRUE,FALSE,2,3,2,2,4
"94",515,1,270.051,5,1,TRUE,TRUE,TRUE,FALSE,3,5,2,2,6
"95",344,0,79.124,5,3,TRUE,TRUE,FALSE,FALSE,3,4,2,2,7
"96",227,0,121.448,5,1,FALSE,FALSE,TRUE,FALSE,3,4,3,3,5
"97",61,1,9.737,5,2,TRUE,TRUE,TRUE,TRUE,4,5,4,2,5
"98",357,1,85.958,5,0,TRUE,TRUE,FALSE,FALSE,4,5,5,3,4
"99",1022,0,55.707,5,0,TRUE,TRUE,TRUE,FALSE,2,5,5,2,5
"100",217,0,68.438,5,0,TRUE,TRUE,TRUE,TRUE,2,5,3,2,5
"101",1769,1,71.515,4,0,FALSE,FALSE,TRUE,TRUE,2,5,3,3,5
"102",65009,1,2557.494,4,NA,TRUE,TRUE,TRUE,TRUE,5,5,1,3,6
"103",711,1,230.537,5,NA,TRUE,FALSE,TRUE,FALSE,1,5,5,2,9
"104",394,1,10.146,5,6,TRUE,TRUE,TRUE,FALSE,4,5,2,3,5
"105",182,0,52.464,5,4,TRUE,TRUE,TRUE,FALSE,4,5,1,3,5
"106",21155,0,155.269,5,1,TRUE,TRUE,FALSE,FALSE,5,5,4,2,5
"107",20592,0,203.666,5,1,TRUE,TRUE,FALSE,FALSE,3,5,5,3,5
"108",519,1,173.858,5,0,TRUE,FALSE,FALSE,FALSE,2,5,5,2,5
"109",111,1,3.281,5,0,FALSE,FALSE,FALSE,FALSE,3,5,4,2,5
"110",279,1,29.48,4,1,TRUE,FALSE,TRUE,FALSE,3,5,3,3,5
"111",332,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"112",522,0,118.234,5,1,FALSE,TRUE,FALSE,FALSE,2,5,5,1,4
"113",3083,0,284.445,5,5,TRUE,TRUE,FALSE,TRUE,3,5,4,3,2
"114",1287,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"115",124,0,10.624,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"116",391,0,89.81,3,1,TRUE,TRUE,FALSE,FALSE,2,NA,4,4,5
"117",182227,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"118",5,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"119",605,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"120",893,1,701.389,1,0,TRUE,TRUE,FALSE,TRUE,3,NA,6,2,4
"121",35,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"122",844,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"123",51,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"124",11372,0,117.398,5,3,TRUE,FALSE,FALSE,TRUE,3,5,4,2,7
"125",6,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"126",926,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"127",13,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"128",8,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"129",3,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"130",173,0,86.24,1,1,FALSE,FALSE,FALSE,FALSE,3,5,2,2,5
"131",288,0,37.122,1,1,FALSE,FALSE,FALSE,FALSE,3,5,2,2,5
"132",303,0,101.214,5,3,TRUE,TRUE,FALSE,TRUE,2,5,4,2,3
"133",5,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"134",724,1,71.16,5,NA,TRUE,TRUE,TRUE,TRUE,3,5,4,2,3
"135",4,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"136",4,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"137",26,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"138",4,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"139",11,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"140",695,0,332.448,5,NA,FALSE,FALSE,FALSE,FALSE,2,5,5,1,5
"141",10631,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"142",10595,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"143",531,0,137.266,5,0,TRUE,TRUE,FALSE,FALSE,3,5,5,2,5
"144",607,1,374.33,4,5,TRUE,FALSE,FALSE,FALSE,5,5,4,3,4
"145",2519,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"146",5,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"147",457,1,207.261,5,3,TRUE,TRUE,FALSE,TRUE,3,5,4,2,5
"148",250,0,116.229,5,3,FALSE,TRUE,FALSE,TRUE,2,5,3,2,5
"149",10884,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"150",1442,0,380.242,4,1,TRUE,TRUE,FALSE,FALSE,3,5,5,2,6
"151",4,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"152",2,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"153",8,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"154",305,1,78.925,5,7,TRUE,TRUE,FALSE,TRUE,3,4,5,2,5
"155",643,0,126.522,5,3,TRUE,TRUE,FALSE,TRUE,3,5,5,2,7
"156",353,1,131.571,5,2,TRUE,TRUE,FALSE,FALSE,3,4,5,2,7
"157",3,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"158",13,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"159",18,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"160",673,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"161",242,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"162",432,0,236.871,5,1,TRUE,TRUE,TRUE,FALSE,4,5,4,3,7
"163",38,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"164",1020,0,538.176,5,4,TRUE,TRUE,FALSE,FALSE,2,5,5,3,6
"165",399,0,208.013,5,7,TRUE,TRUE,FALSE,TRUE,2,5,4,2,7
"166",9469,1,2.091,4,1,TRUE,TRUE,TRUE,TRUE,2,5,4,3,4
"167",9,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"168",97205,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"169",9187,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"170",82798,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"171",5811,1,142.923,2,1,TRUE,TRUE,FALSE,FALSE,3,5,4,1,5
"172",290,1,140.683,5,2,FALSE,FALSE,TRUE,FALSE,3,5,4,3,4
"173",342,1,145.138,5,5,TRUE,TRUE,FALSE,TRUE,2,5,5,3,5
"174",454,0,109.974,5,0,TRUE,TRUE,FALSE,TRUE,2,5,5,3,5
"175",52,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"176",625,0,219.755,5,2,TRUE,TRUE,FALSE,TRUE,2,5,5,1,7
"177",9641,0,306.591,2,1,FALSE,FALSE,FALSE,TRUE,2,3,4,2,6
"178",14,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"179",36,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"180",4,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"181",625,1,82.143,4,3,TRUE,FALSE,FALSE,TRUE,4,5,5,1,6
"182",28,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"183",183671,1,247.724,5,1,TRUE,TRUE,FALSE,FALSE,3,5,4,2,9
"184",15,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"185",12,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"186",89575,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"187",394,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"188",198,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"189",186,0,32.441,5,3,TRUE,FALSE,FALSE,TRUE,2,5,5,1,6
"190",374,0,175.668,5,NA,TRUE,TRUE,FALSE,FALSE,4,5,5,2,5
"191",956,1,539.185,5,1,TRUE,TRUE,TRUE,FALSE,4,5,2,1,6
"192",2,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"193",38571,1,1.738,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"194",18,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"195",40,1,4.785,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"196",218,0,72.541,5,3,TRUE,TRUE,FALSE,TRUE,3,5,5,2,6
"197",524,1,75.128,5,1,TRUE,TRUE,FALSE,FALSE,3,5,4,3,5
"198",306,1,135.218,5,0,FALSE,FALSE,FALSE,TRUE,2,5,4,2,5
"199",156266,0,87.479,5,3,TRUE,TRUE,FALSE,FALSE,2,5,5,2,7
"200",44,1,0,2,3,FALSE,FALSE,FALSE,FALSE,3,5,NA,NA,5
"201",253,1,139.016,5,2,TRUE,TRUE,TRUE,FALSE,3,5,4,2,5
"202",262,0,132.993,5,NA,TRUE,TRUE,TRUE,FALSE,2,5,4,2,6
"203",271,0,139.741,5,2,TRUE,TRUE,TRUE,FALSE,3,5,5,3,5
"204",291,1,98.648,5,3,TRUE,TRUE,TRUE,FALSE,3,5,5,2,6
"205",381,0,1.809,1,4,TRUE,TRUE,TRUE,FALSE,3,5,4,3,5
"206",73427,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"207",516206,1,0,5,3,TRUE,TRUE,TRUE,FALSE,3,5,4,2,4
"208",167,0,1.924,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"209",531,0,347.005,1,1,FALSE,FALSE,TRUE,FALSE,2,5,4,1,5
"210",448,1,65.816,1,2,TRUE,TRUE,FALSE,FALSE,3,4,5,2,4
"211",71,1,9.154,2,3,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"212",647,0,149.02,4,1,FALSE,TRUE,TRUE,FALSE,3,5,4,2,5
"213",105,1,0,2,4,TRUE,TRUE,TRUE,FALSE,1,5,4,2,4
"214",535,0,3.108,5,7,TRUE,TRUE,FALSE,TRUE,3,5,4,3,5
"215",152685,0,186.054,5,NA,TRUE,TRUE,TRUE,FALSE,4,5,5,2,7
"216",26,1,9.48,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"217",3,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"218",46,0,8.715,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"219",617,1,245.113,5,2,TRUE,TRUE,FALSE,FALSE,2,4,4,3,6
"220",2236,0,328.868,5,0,TRUE,TRUE,FALSE,FALSE,3,5,5,2,8
"221",940,0,192.659,5,0,TRUE,TRUE,TRUE,FALSE,3,5,3,3,7
"222",279370,0,119.232,5,4,TRUE,FALSE,FALSE,TRUE,2,5,5,2,4
"223",2,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"224",298190,0,229.327,4,0,FALSE,FALSE,FALSE,FALSE,3,3,4,2,5
"225",272,1,192.379,5,5,TRUE,TRUE,FALSE,FALSE,3,5,4,2,4
"226",874,1,274.955,1,0,TRUE,TRUE,TRUE,TRUE,5,NA,2,3,4
"227",449,0,166.32,5,0,TRUE,TRUE,TRUE,FALSE,4,4,5,3,5
"228",843,0,482.948,5,1,TRUE,FALSE,TRUE,TRUE,2,3,4,2,5
"229",292,0,100.705,5,0,TRUE,TRUE,TRUE,TRUE,4,5,4,3,5
"230",426,1,188.965,1,4,TRUE,TRUE,TRUE,FALSE,3,4,2,1,4
"231",204,0,126.04,5,3,TRUE,TRUE,TRUE,FALSE,2,5,5,3,6
"232",773,1,433.307,5,6,TRUE,FALSE,FALSE,TRUE,1,5,2,3,5
"233",701,1,224.514,1,0,FALSE,TRUE,FALSE,FALSE,2,NA,2,4,4
"234",814,1,337.549,1,3,TRUE,TRUE,FALSE,FALSE,2,3,4,3,4
"235",272,0,70.599,5,1,TRUE,TRUE,FALSE,FALSE,3,5,4,2,5
"236",6,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"237",4,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"238",329,0,128.343,5,3,TRUE,TRUE,FALSE,TRUE,3,3,3,2,5
